,index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
0,0,22,59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3
1,2,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3
2,3,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2
3,4,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4
4,5,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2
5,6,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3
6,7,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4
7,8,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2
8,9,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3
9,10,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4
10,11,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2
11,12,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2
12,13,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4
13,17,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4
14,18,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4
15,19,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2
16,22,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4
17,24,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4
18,25,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3
19,26,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3
20,28,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3
21,29,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2
22,30,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3
23,32,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3
24,35,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4
25,36,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2
26,37,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3
27,38,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4
28,40,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2
29,41,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3
30,47,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3
31,48,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3
32,49,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3
33,51,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3
34,52,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3
35,53,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2
36,63,25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2
37,64,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3
38,72,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3
39,73,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2
40,74,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3
41,75,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3
42,76,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3
43,77,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4
44,78,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2
45,79,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4
46,88,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
47,89,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3
48,91,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2
49,92,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2
50,94,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2
51,97,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3
52,101,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3
53,104,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3
54,107,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3
55,109,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4
56,110,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3
57,113,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2
58,115,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4
59,116,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2
60,117,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2
61,118,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4
62,119,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3
63,121,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3
64,122,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2
65,127,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3
66,128,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3
67,129,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2
68,130,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2
69,131,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4
70,132,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2
71,133,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3
72,134,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4
73,135,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4
74,142,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2
75,143,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
76,144,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4
77,145,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2
78,146,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2
79,148,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4
80,151,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2
81,154,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3
82,155,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3
83,156,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4
84,157,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2
85,159,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3
86,160,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4
87,161,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3
88,162,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3
89,163,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2
90,168,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4
91,169,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3
